ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2005-01-01,0.033492602234524445,6608.0259261075835,9255.95079377462,-3.3964306933575563,-3.3964306933575563,12.362683479455873,12.362683479455873,12.362683479455873,12.362683479455873,12.362683479455873,12.362683479455873,0.0,0.0,0.0,7834.190148157091
2006-01-01,0.046994595536394575,10188.338392777398,14352.753885963963,-3.0577226724711224,-3.0577226724711224,12.468800859920275,12.468800859920275,12.468800859920275,12.468800859920275,12.468800859920275,12.468800859920275,0.0,0.0,0.0,12223.042605441768
2007-01-01,0.06593969665757209,14701.755888255526,20759.352462430994,-2.7190146416285983,-2.7190146416285983,12.491181343933828,12.491181343933828,12.491181343933828,12.491181343933828,12.491181343933828,12.491181343933828,0.0,0.0,0.0,17538.727280265768
2008-01-01,0.09252220515138193,19763.47989636344,27352.80743459232,-2.380306607581899,-2.380306607581899,12.429780436347173,12.429780436347173,12.429780436347173,12.429780436347173,12.429780436347173,12.429780436347173,0.0,0.0,0.0,23143.60614128904
2009-01-01,0.12994080328601418,25421.320052359188,36119.20297163623,-2.0406762915724546,-2.0406762915724546,12.362683479454823,12.362683479454823,12.362683479454823,12.362683479454823,12.362683479454823,12.362683479454823,0.0,0.0,0.0,30394.203287569566
2010-01-01,0.1758108828069072,39048.479647058,54237.49968425999,-1.7383463911709132,-1.7383463911709132,12.468800859920254,12.468800859920254,12.468800859920254,12.468800859920254,12.468800859920254,12.468800859920254,0.0,0.0,0.0,45727.46901044994
2011-01-01,0.2069124585727848,46529.33683093714,64275.6559427229,-1.57545948061198,-1.57545948061198,12.491181343933803,12.491181343933803,12.491181343933803,12.491181343933803,12.491181343933803,12.491181343933803,0.0,0.0,0.0,55034.84798607346
2012-01-01,0.24333904753350932,51916.758022115064,73476.06825989252,-1.4132995507691097,-1.4132995507691097,12.4297804363473,12.4297804363473,12.4297804363473,12.4297804363473,12.4297804363473,12.4297804363473,0.0,0.0,0.0,60869.09694487052
2013-01-01,0.28619330656831743,56967.87497545111,78886.54945229908,-1.2510877993858323,-1.2510877993858323,12.362683479456061,12.362683479456061,12.362683479456061,12.362683479456061,12.362683479456061,12.362683479456061,0.0,0.0,0.0,66942.92569704454
2014-01-01,0.33641829617272934,74194.42605345337,103233.78454799752,-1.0893999642150922,-1.0893999642150922,12.468800859920815,12.468800859920815,12.468800859920815,12.468800859920815,12.468800859920815,12.468800859920815,0.0,0.0,0.0,87500.59704603846
2015-01-01,0.33853320672811643,75269.16575466031,105775.05720650444,-1.083133091801332,-1.083133091801332,12.49118134393388,12.49118134393388,12.49118134393388,12.49118134393388,12.49118134393388,12.49118134393388,0.0,0.0,0.0,90043.50776667947
2016-01-01,0.34054927221589537,72407.83344003612,100693.53099950093,-1.077195458381529,-1.077195458381529,12.429780436347396,12.429780436347396,12.429780436347396,12.429780436347396,12.429780436347396,12.429780436347396,0.0,0.0,0.0,85185.36944697265
2017-01-01,0.3272356253595414,64447.182739814954,90784.30185334642,-1.1170748007197822,-1.1170748007197822,12.362683479454818,12.362683479454818,12.362683479454818,12.362683479454818,12.362683479454818,12.362683479454818,0.0,0.0,0.0,76543.05551906125
2018-01-01,0.3144390639805072,69463.84019240351,95432.86336942458,-1.156964976843523,-1.156964976843523,12.468800859920284,12.468800859920284,12.468800859920284,12.468800859920284,12.468800859920284,12.468800859920284,0.0,0.0,0.0,81783.9164691291
2019-01-01,0.302133730153029,68057.21674148437,95106.417984384,-1.1968855445446747,-1.1968855445446747,12.491181343933757,12.491181343933757,12.491181343933757,12.491181343933757,12.491181343933757,12.491181343933757,0.0,0.0,0.0,80361.92709288884
2020-01-01,0.29030995801600207,61474.12233747895,85300.13435446878,-1.2368061060390019,-1.2368061060390019,12.429780436347244,12.429780436347244,12.429780436347244,12.429780436347244,12.429780436347244,12.429780436347244,0.0,0.0,0.0,72618.45214588073
2021-01-01,0.2789185936846174,54657.13706189895,76838.78662435841,-1.2768353186447003,-1.2768353186447003,12.362683479455347,12.362683479455347,12.362683479455347,12.362683479455347,12.362683479455347,12.362683479455347,0.0,0.0,0.0,65241.3116030827
2022-01-01,0.26800352064645844,59848.00273731458,82184.72689866945,-1.31675516181705,-1.31675516181705,12.468800859920831,12.468800859920831,12.468800859920831,12.468800859920831,12.468800859920831,12.468800859920831,0.0,0.0,0.0,69706.28034738466
2023-01-01,0.25751559309851035,57592.794581730115,81078.13104870451,-1.3566750049893996,-1.3566750049893996,12.491181343933706,12.491181343933706,12.491181343933706,12.491181343933706,12.491181343933706,12.491181343933706,0.0,0.0,0.0,68494.33629069423
2024-01-01,0.24743809532396852,51845.29477448078,73581.51206579358,-1.3965948481617494,-1.3965948481617494,12.429780436348121,12.429780436348121,12.429780436348121,12.429780436348121,12.429780436348121,12.429780436348121,0.0,0.0,0.0,61894.437266863584
2024-12-31,0.23775496575126623,43462.428232565275,60711.03881554473,-1.455933558649356,-1.4215518819710795,12.284696629464525,12.284696629464525,12.284696629464525,12.284696629464525,12.284696629464525,12.284696629464525,0.0,0.0,0.0,51440.54419790014
2025-12-31,0.2284507713550531,32872.992737900575,46062.267911568124,-1.5382554328243594,-1.4268091599527848,12.056171242126123,12.056171242126123,12.056171242126123,12.056171242126123,12.056171242126123,12.056171242126123,0.0,0.0,0.0,39329.75781422854
2026-12-31,0.21951068305895438,22723.721958407717,33884.276059110685,-1.6306743137560487,-1.4192432982034482,11.74458802035351,11.74458802035351,11.74458802035351,11.74458802035351,11.74458802035351,11.74458802035351,0.0,0.0,0.0,27673.58543123673
2027-12-31,0.21092045210090696,13850.192649958271,22447.096818600123,-1.7440743650700736,-1.4005200335792631,11.350472500194108,11.350472500194108,11.350472500194108,11.350472500194108,11.350472500194108,11.350472500194108,0.0,0.0,0.0,17929.421098841634
2028-12-31,0.20264422302753374,32323.9269499861,57986.86917129784,-1.8517821891972015,-1.3842887057631343,12.284696629464232,12.284696629464232,12.284696629464232,12.284696629464232,12.284696629464232,12.284696629464232,0.0,0.0,0.0,43844.001651681196
